"subject","CHILDCARE_ARRANGEMENT","homebased_daycare_yn","licensed_provider_yn"
"26-2529512","Care in child’s home by a non-relative","No","Yes"
"26-3812952","Care by a relative","Yes","No"
"26-2497072","Daycare (centre-based or home-based)","No","Yes"
"26-3462019","Care in someone’s home by a non-relative","No","Yes"
"26-3825093","Care in someone’s home by a non-relative","No","No"
"26-2521417","Daycare (centre-based or home-based)","No","No"
"26-1355571","Daycare (centre-based or home-based)","No","Yes"
"26-2986183","Care in child’s home by a non-relative","No","Yes"
"26-2497390","Care in child’s home by a non-relative","Yes","No"
"26-1374307","Daycare (centre-based or home-based)","No","No"
"26-3825867","Care in child’s home by a non-relative","No","No"
"26-1375501","Care in someone’s home by a non-relative","Yes","Yes"
"26-2984766","Care in child’s home by a non-relative","No","Yes"
"26-2511889","Care in child’s home by a non-relative","No","Yes"
"26-1404662","Care in someone’s home by a non-relative","No","No"
"26-3829469","Care in someone’s home by a non-relative","No","Yes"
"26-2534081","Care in someone’s home by a non-relative","No","No"
"26-3826163","Care in someone’s home by a non-relative","No","Yes"
"26-1357931","Daycare (centre-based or home-based)","Yes","Yes"
"26-1346732","Care in child’s home by a non-relative","No","Yes"
"26-2493266","Daycare (centre-based or home-based)","No","No"
"26-1353867","Care by a relative","No","Yes"
"26-2524117","Care in someone’s home by a non-relative","Yes","Yes"
"26-2524334","Care by a relative","No","Yes"
"26-3818740","Care in someone’s home by a non-relative","No","No"
"26-3811059","Care by a relative","No","No"
"26-1387121","Care in child’s home by a non-relative","No","No"
"26-2517123","Care by a relative","No","No"
"26-3506616","Daycare (centre-based or home-based)","Yes","Yes"
"26-1395191","Care in someone’s home by a non-relative","No","Yes"
"26-3507080","Daycare (centre-based or home-based)","No","No"
"26-1345929","Care by a relative","No","No"
"26-1397338","Care by a relative","Yes","Yes"
"26-3815525","Care in child’s home by a non-relative","Yes","No"
"26-1387873","Daycare (centre-based or home-based)","No","No"
"26-2516399","Daycare (centre-based or home-based)","No","No"
"26-1359212","Care in someone’s home by a non-relative","No","No"
"26-3815645","Care by a relative","No","Yes"
"26-1348561","Care in someone’s home by a non-relative","No","Yes"
"26-1397425","Care by a relative","Yes","Yes"
"26-1388250","Care by a relative","Yes","Yes"
"26-2532004","Care in child’s home by a non-relative","Yes","No"
"26-3815525","Daycare (centre-based or home-based)","Yes","Yes"
"26-1867460","Care in someone’s home by a non-relative","Yes","No"
"26-1861076","Care by a relative","Yes","No"
"26-2495551","Daycare (centre-based or home-based)","Yes","No"
"26-1404262","Care in child’s home by a non-relative","Yes","Yes"
"26-1357001","Care in someone’s home by a non-relative","No","Yes"
"26-3467111","Care in someone’s home by a non-relative","Yes","Yes"
"26-3814023","Daycare (centre-based or home-based)","Yes","Yes"
"26-1394008","Care in someone’s home by a non-relative","No","Yes"
"26-1342582","Daycare (centre-based or home-based)","No","Yes"
"26-2519222","Daycare (centre-based or home-based)","No","Yes"
"26-1409847","Care in child’s home by a non-relative","Yes","No"
"26-1394124","Care in child’s home by a non-relative","No","Yes"
"26-1358857","Care in someone’s home by a non-relative","No","No"
"26-3508799","Care in child’s home by a non-relative","No","No"
"26-3814154","Care in someone’s home by a non-relative","Yes","Yes"
"26-2521410","Care in child’s home by a non-relative","No","No"
"26-1362027","Care in child’s home by a non-relative","Yes","No"
"26-3812568","Care in someone’s home by a non-relative","Yes","No"
"26-1864139","Daycare (centre-based or home-based)","Yes","Yes"
"26-3825968","Care by a relative","No","No"
"26-1367044","Care in someone’s home by a non-relative","Yes","No"
"26-1403262","Care in child’s home by a non-relative","No","Yes"
"26-3827285","Care in child’s home by a non-relative","No","Yes"
"26-2523380","Care by a relative","No","No"
"26-1367133","Care in someone’s home by a non-relative","No","Yes"
"26-2537913","Care by a relative","Yes","No"
"26-2982271","Care by a relative","No","Yes"
"26-1404084","Care by a relative","No","No"
"26-1869274","Care by a relative","Yes","Yes"
"26-2986872","Care in child’s home by a non-relative","No","Yes"
"26-2523335","Daycare (centre-based or home-based)","No","Yes"
"26-3818177","Care by a relative","Yes","No"
"26-3506346","Care in child’s home by a non-relative","Yes","Yes"
"26-1356766","Care in someone’s home by a non-relative","No","No"
"26-2497244","Daycare (centre-based or home-based)","Yes","Yes"
"26-1352230","Care in someone’s home by a non-relative","Yes","No"
"26-2535037","Care in someone’s home by a non-relative","No","No"
"26-1357088","Care in someone’s home by a non-relative","No","Yes"
"26-1344772","Care in child’s home by a non-relative","No","No"
"26-3813096","Care in someone’s home by a non-relative","No","Yes"
"26-2518615","Daycare (centre-based or home-based)","No","Yes"
"26-2534255","Care in someone’s home by a non-relative","No","Yes"
"26-3506757","Care in child’s home by a non-relative","Yes","No"
"26-2496418","Daycare (centre-based or home-based)","Yes","No"
"26-1376017","Care in someone’s home by a non-relative","Yes","Yes"
"26-2517036","Care by a relative","Yes","No"
"26-1869384","Care in someone’s home by a non-relative","Yes","Yes"
"26-2495807","Care in someone’s home by a non-relative","No","No"
"26-2494182","Care in child’s home by a non-relative","Yes","No"
"26-3508034","Care in someone’s home by a non-relative","Yes","Yes"
"26-3826763","Care in child’s home by a non-relative","Yes","Yes"
"26-2497218","Care in child’s home by a non-relative","Yes","No"
"26-1366388","Care by a relative","No","No"
"26-3827919","Care in someone’s home by a non-relative","Yes","No"
"26-1368521","Daycare (centre-based or home-based)","No","Yes"
"26-1354450","Daycare (centre-based or home-based)","No","Yes"
"26-2523569","Care in child’s home by a non-relative","No","Yes"
"26-3815225","Care by a relative","No","No"
"26-1409160","Daycare (centre-based or home-based)","No","Yes"
"26-2533325","Care in someone’s home by a non-relative","Yes","No"
"26-2516302","Care in child’s home by a non-relative","No","Yes"
"26-1359002","Care in someone’s home by a non-relative","No","No"
"26-3501505","Care by a relative","No","Yes"
"26-2523926","Daycare (centre-based or home-based)","Yes","Yes"
"26-1396611","Daycare (centre-based or home-based)","No","No"
"26-1354616","Daycare (centre-based or home-based)","No","No"
"26-1868475","Care by a relative","Yes","No"
"26-2499724","Care in someone’s home by a non-relative","Yes","No"
"26-1869384","Care by a relative","No","No"
"26-1352959","Care by a relative","Yes","No"
"26-1353814","Daycare (centre-based or home-based)","Yes","Yes"
"26-1367154","Daycare (centre-based or home-based)","Yes","Yes"
"26-2514542","Care in someone’s home by a non-relative","No","No"
"26-1356403","Care by a relative","Yes","Yes"
"26-1369737","Daycare (centre-based or home-based)","No","No"
"26-2517196","Care in someone’s home by a non-relative","Yes","No"
"26-1398906","Care in child’s home by a non-relative","Yes","Yes"
"26-3827137","Daycare (centre-based or home-based)","No","Yes"
"26-2528646","Care in child’s home by a non-relative","No","Yes"
"26-2537345","Daycare (centre-based or home-based)","Yes","No"
"26-1375611","Daycare (centre-based or home-based)","Yes","No"
"26-3467251","Care in child’s home by a non-relative","Yes","No"
"26-1406026","Daycare (centre-based or home-based)","No","No"
"26-3501836","Daycare (centre-based or home-based)","No","Yes"
"26-2514934","Care in child’s home by a non-relative","No","No"
"26-1353867","Care in child’s home by a non-relative","No","No"
"26-2499032","Care in someone’s home by a non-relative","No","No"
"26-3468357","Care in someone’s home by a non-relative","No","No"
"26-2988716","Care by a relative","No","No"
"26-2492471","Care in someone’s home by a non-relative","No","No"
"26-1862938","Care in someone’s home by a non-relative","No","No"
"26-2524150","Care in child’s home by a non-relative","Yes","No"
"26-1355177","Care by a relative","Yes","Yes"
"26-2516482","Daycare (centre-based or home-based)","No","No"
"26-3463680","Care in child’s home by a non-relative","No","Yes"
"26-2525339","Care in child’s home by a non-relative","Yes","No"
"26-1356906","Care in someone’s home by a non-relative","Yes","Yes"
"26-1342778","Care in child’s home by a non-relative","No","No"
"26-1349651","Care by a relative","No","No"
"26-1375582","Daycare (centre-based or home-based)","No","No"
"26-1357765","Care in child’s home by a non-relative","Yes","Yes"
"26-1363576","Care by a relative","Yes","Yes"
"26-1381767","Daycare (centre-based or home-based)","No","Yes"
"26-1403931","Daycare (centre-based or home-based)","Yes","No"
"26-2499355","Care in someone’s home by a non-relative","Yes","No"
"26-1399909","Care by a relative","No","No"
"26-2539928","Care in someone’s home by a non-relative","Yes","Yes"
"26-1396767","Care in child’s home by a non-relative","Yes","No"
"26-2495551","Daycare (centre-based or home-based)","No","No"
"26-3817648","Daycare (centre-based or home-based)","Yes","No"
"26-3818177","Care by a relative","Yes","Yes"
"26-1376147","Daycare (centre-based or home-based)","No","Yes"
"26-2493736","Care by a relative","Yes","No"
"26-1346799","Care in someone’s home by a non-relative","No","No"
"26-1357931","Care in someone’s home by a non-relative","No","Yes"
"26-1358988","Care in someone’s home by a non-relative","Yes","No"
"26-1388558","Care in child’s home by a non-relative","No","No"
"26-1378707","Care in child’s home by a non-relative","No","No"
"26-1869105","Daycare (centre-based or home-based)","No","Yes"
"26-1343120","Care by a relative","No","No"
"26-3829625","Care by a relative","Yes","No"
"26-2529678","Care by a relative","No","Yes"
"26-1381451","Care by a relative","No","No"
"26-3461462","Care in child’s home by a non-relative","No","No"
"26-3507449","Care in child’s home by a non-relative","No","Yes"
"26-1379881","Care by a relative","Yes","Yes"
"26-2987229","Care in child’s home by a non-relative","No","No"
"26-2497607","Daycare (centre-based or home-based)","No","No"
"26-2515836","Daycare (centre-based or home-based)","Yes","Yes"
"26-1363389","Care in someone’s home by a non-relative","No","No"
"26-2497310","Daycare (centre-based or home-based)","Yes","No"
"26-2516797","Care in child’s home by a non-relative","Yes","Yes"
"26-3502960","Care in someone’s home by a non-relative","Yes","No"
"26-1355573","Care in someone’s home by a non-relative","Yes","Yes"
"26-3818529","Daycare (centre-based or home-based)","No","No"
"26-2515879","Care in someone’s home by a non-relative","Yes","No"
"26-2982180","Care in child’s home by a non-relative","No","No"
"26-3464527","Daycare (centre-based or home-based)","Yes","Yes"
"26-1351849","Care in someone’s home by a non-relative","No","Yes"
"26-2539847","Care by a relative","Yes","Yes"
"26-2494978","Care in someone’s home by a non-relative","Yes","No"
"26-1389667","Care in child’s home by a non-relative","Yes","Yes"
"26-2981324","Care in child’s home by a non-relative","No","Yes"
"26-1352772","Care in child’s home by a non-relative","No","No"
"26-3816380","Care in someone’s home by a non-relative","No","Yes"
"26-1407988","Care in child’s home by a non-relative","Yes","No"
"26-2988547","Care by a relative","Yes","Yes"
"26-2498996","Daycare (centre-based or home-based)","Yes","No"
"26-1347117","Care by a relative","Yes","Yes"
"26-1394105","Care in someone’s home by a non-relative","Yes","Yes"
"26-3828411","Care by a relative","No","No"
"26-2988085","Daycare (centre-based or home-based)","Yes","Yes"
"26-2499087","Care in someone’s home by a non-relative","Yes","Yes"
"26-1401412","Care by a relative","Yes","Yes"
"26-2988088","Care by a relative","Yes","No"
"26-3824798","Daycare (centre-based or home-based)","Yes","Yes"
"26-3814500","Care in child’s home by a non-relative","Yes","No"
"26-1391628","Daycare (centre-based or home-based)","No","Yes"
"26-1406075","Daycare (centre-based or home-based)","No","No"
